#,INSTALLED,VERIFY_DT,STATUS,LABELED_AS,SEQ#,CATEGORY,PRODUCT_NAME,"PREREQUISITES OR SPECIAL NOTES
small s denotes Redacted",DATE REVIEWED FOR REDACTION,REDACTED INFO IN FOIA RELEASE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,TRUE,2018-01-02,VERIFIED,ICD*18*93,84,ROUTINE,DRG GROUPER,ICD_18_93.KIDs,2018-01-02,YES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,TRUE,2018-01-02,VERIFIED,DENT*1.2*71,68,ENHANCEMENT,DENTAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,TRUE,2018-01-03,VERIFIED,PSO*7*501,415,ROUTINE,OUTPATIENT PHARMACY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,TRUE,2018-01-03,VERIFIED,OR*3*467,387,ROUTINE,ORDER ENTRY RESULTS REPORTING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,TRUE,2018-01-03,VERIFIED,OR*3*449,388,ROUTINE,ORDER ENTRY RESULTS REPORTING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,TRUE,2018-01-03,VERIFIED,GMRY*4*9,8,ROUTINE,INTAKE/OUTPUT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,FALSE,2018-01-03,Entered In Error,PSO*7*498,416,ROUTINE,OUTPATIENT PHARMACY,Patch was pulled 1/12/18 and entered in error,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,TRUE,2018-01-04,VERIFIED,LR*5.2*497,396,INFORMATIONAL,LABORATORY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,TRUE,2018-01-04,VERIFIED,IB*2*600,552,ROUTINE,INTEGRATED BILLING,IBRC1710A-F.TX,2018-01-05,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,TRUE,2018-01-05,VERIFIED,PSN*4*544,525,ROUTINE,NATIONAL DRUG FILE,NDF4P544.KIDs,2018-01-05,YES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,TRUE,2018-01-05,VERIFIED,PSN*4*545,526,ROUTINE,NATIONAL DRUG FILE,NDF4P545.KIDs,2018-01-05,YES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,TRUE,2018-01-05,VERIFIED,PSN*4*546,527,ROUTINE,NATIONAL DRUG FILE,NDF4P546.KIDs,2018-01-05,YES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,TRUE,2018-01-05,VERIFIED,PSJ*5*349,299,ROUTINE,INPATIENT MEDICATIONS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,TRUE,2018-01-08,VERIFIED,CRHD*1*7,4,OTHER,SHIFT HANDOFF TOOL,CRHD_10_7_scrubbed.zip,2018-01-16,YES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,TRUE,2018-01-09,VERIFIED,WEBI*11*1,1,INFORMATIONAL,ITHA - HOME TELEHEALTH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,TRUE,2018-01-09,VERIFIED,OR*3*459,389,ROUTINE,ORDER ENTRY RESULTS REPORTING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,TRUE,2018-01-11,VERIFIED,IB*2*564,553,ROUTINE,INTEGRATED BILLING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,TRUE,2018-01-12,VERIFIED,SD*5.3*672,560,ROUTINE,SCHEDULING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,TRUE,2018-01-16,VERIFIED,PSN*4*547,528,ROUTINE,NATIONAL DRUG FILE,NDF4P547.KIDs,2018-01-16,YES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,TRUE,2018-01-16,VERIFIED,IVM*2*168,140,ROUTINE,INCOME VERIFCATION MATCH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,TRUE,2018-01-16,VERIFIED,PSO*7*506,417,ROUTINE,OUTPATIENT PHARMACY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,TRUE,2018-01-16,VERIFIED,FB*3.5*158,149,ROUTINE,FEE BASIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,TRUE,2018-01-17,VERIFIED,SD*5.3*654,561,ROUTINE,SCHEDULING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,FALSE,2018-01-17,VERIFIED,DSIF*3.2*13,34,ENHANCEMENT,FEE BASIS CLAIM SYSTEMS,PROHIBITED FROM PLACING ON FOIA ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,TRUE,2018-01-17,VERIFIED,PRC*5.1*196,176,ROUTINE,IFCAP,PRC_51_196.KID,2018-01-17,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,TRUE,2018-01-17,VERIFIED,GEC*2*40,36,ROUTINE,GENERIC CODE SHEET,PRC_51_196.KID,2018-01-17,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,TRUE,2018-01-17,VERIFIED,HDS*1*16,13,INFORMATIONAL,HEALTH DATA REPOSITORY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,TRUE,2018-01-17,VERIFIED,SD*5.3*681,562,INFORMATIONAL,SCHEDULING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,TRUE,2018-01-19,VERIFIED,IB*2*610,554,ROUTINE,INTEGRATED BILLING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,TRUE,2018-01-19,VERIFIED,WEBC*1*4,4,INFORMATIONAL,IHTA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,TRUE,2018-01-22,VERIFIED,PRS*4*153,141,ROUTINE,PAID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,TRUE,2018-01-22,VERIFIED,LR*5.2*496,397,ROUTINE,LABORATORY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,TRUE,2018-01-23,VERIFIED,PSO*7*497,418,ROUTINE,OUTPATIENT PHARMACY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,TRUE,2018-01-23,VERIFIED,PSS*1*212,184,ROUTINE,PHARMACY DATA MANAGEMENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,TRUE,2018-01-23,VERIFIED,XU*8*677,533,ROUTINE,KERNEL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,TRUE,2018-01-23,VERIFIED,HDI*1*18,13,OTHER,HEALTH DATA AND INFORMATICS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,TRUE,2018-01-23,VERIFIED,XU*8*671,534,DATA DICTIONARY,KERNEL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,TRUE,2018-01-24,VERIFIED,XU*8*683,535,ROUTINE,KERNEL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,TRUE,2018-01-24,VERIFIED,HDI*1*20,14,OTHER,HEALTH DATA AND INFORMATICS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,TRUE,2018-01-24,VERIFIED,IB*2*585,555,DATA DICTIONARY,INTEGRATED BILLING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,TRUE,2018-01-24,VERIFIED,WEBE*2.6*1,1,INFORMATIONAL,COMMUNITY VIEWER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,TRUE,2018-01-25,VERIFIED,PRCA*4.5*333,291,ROUTINE,ACCOUNTS RECEIVABLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
